part_number,description,category,model,unit_cost,unit_mrp,stock_qty,min_threshold,max_capacity,units_sold
TR600860,TRU4 ENGINE OIL SYNTHETIC 1L,Lubricants,Universal,847.46,1000.0,22,5,50,0
TR600870,TRU4 ENGINE OIL PREMIUM 1L,Lubricants,Universal,529.66,625.0,20,5,50,0
TR600880,TRU4 ENGINE OIL PREMIUM 900ML,Lubricants,Universal,500.0,590.0,20,5,50,0
0334548,HEX NUT M8 8 ZNB,Spare Parts,Universal,4.24,5.0,20,5,50,0
KL160030,SIDE STAND SWITCH,Spare Parts,Universal,377.12,445.0,2,1,10,0
N3200010,BALL BEARING 12x37x12 C3 6301 RS1,Spare Parts,Universal,97.46,115.0,8,2,20,0
N6150490,HANDLE BAR DISC,Spare Parts,Universal,750.0,885.0,5,1,10,0
N9092830,WHEEL HUGGER REAR,Spare Parts,Universal,199.15,235.0,1,1,10,0
N9220230,BRKT HEADLAMP COMP 3,Spare Parts,Universal,423.73,500.0,2,1,10,0
N9322450,STATOR ASSY,Spare Parts,Universal,1165.25,1375.0,1,1,10,0
NR221110,HOUSING HEADLAMP REAR,Spare Parts,Universal,296.61,350.0,3,1,10,0
K3150270,CLAMP LEVER BRACKET LEFT HAND,Spare Parts,Universal,0.0,26.0,14,5,50,0
K6150580,KIT BRAKE LEVER ASSEMBLY REAR,Spare Parts,Universal,0.0,235.6,1,5,50,0
NF161180,Spare Part,Spare Parts,Universal,0.0,433.0,1,5,49,0
